"";"zoning";"coded_systemload";"loadunitcap";"throughput";"prediction";"low.bootstrap";"up.bootstrap";"low.analytical";"up.analytical"
732;"FIFO";-0.972222222222222;1.97222222222222;6493.16013607565;6493.16013607565;6352;6637;6475.26929262471;6571.17221652106
805;"FIFO";-0.972222222222222;2.06944444444444;6496.73031656605;6496.73031656605;6356;6637;6482.85670756676;6577.3251903159
878;"FIFO";-0.972222222222222;2.16666666666667;6500.18190615661;6500.18190615661;6359;6640;6490.25900573097;6583.40845538654
951;"FIFO";-0.972222222222222;2.26388888888889;6503.51471378264;6503.51471378264;6365;6644;6497.4777811999;6589.41959868732
1024;"FIFO";-0.972222222222222;2.36111111111111;6506.72855489009;6506.72855489009;6369;6645;6504.51480508625;6595.35604511063
1097;"FIFO";-0.972222222222222;2.45833333333333;6509.82325145273;6509.82325145273;6370;6651;6511.37200686921;6601.21507623196
1170;"FIFO";-0.972222222222222;2.55555555555556;6512.79863198856;6512.79863198856;6375;6652;6518.05145277185;6606.99385201233
1243;"FIFO";-0.972222222222222;2.65277777777778;6515.65453157555;6515.65453157555;6377;6656;6524.55532171833;6612.68943491981
1316;"FIFO";-0.972222222222222;2.75;6518.39079186696;6518.39079186696;6381;6660;6530.88587948415;6618.29881585594
1389;"FIFO";-0.972222222222222;2.84722222222222;6521.00726110602;6521.00726110602;6382;6663;6537.04545169304;6623.81894123455
1462;"FIFO";-0.972222222222222;2.94444444444444;6523.5037941398;6523.5037941398;6383;6667;6543.03639631637;6629.24674055627
1535;"FIFO";-0.972222222222222;3.04166666666667;6525.88025243277;6525.88025243277;6383;6666;6548.86107630099;6634.57915385307
1608;"FIFO";-0.972222222222222;3.13888888888889;6528.13650407956;6528.13650407956;6389;6671;6554.52183289191;6639.81315843655
1681;"FIFO";-0.972222222222222;3.23611111111111;6530.27242381716;6530.27242381716;6392;6670;6560.02096013508;6644.9457944644
1754;"FIFO";-0.972222222222222;3.33333333333333;6532.28789303653;6532.28789303653;6394;6674;6565.36068095096;6649.97418893494
1827;"FIFO";-0.972222222222222;3.43055555555556;6534.18279979358;6534.18279979358;6393;6680;6570.54312506731;6654.89557782017
1900;"FIFO";-0.972222222222222;3.52777777777778;6535.95703881945;6535.95703881945;6400;6674;6575.57030900125;6659.70732614871
1973;"FIFO";-0.972222222222222;3.625;6537.61051153039;6537.61051153039;6399;6679;6580.44411818565;6664.40694594225
2046;"FIFO";-0.972222222222222;3.72222222222222;6539.14312603681;6539.14312603681;6397;6679;6585.16629125488;6668.99211199158
2119;"FIFO";-0.972222222222222;3.81944444444444;6540.55479715181;6540.55479715181;6401;6682;6589.73840643601;6673.46067552496
2192;"FIFO";-0.972222222222222;3.91666666666667;6541.84544639905;6541.84544639905;6402;6680;6594.16186994086;6677.8106758747
2265;"FIFO";-0.972222222222222;4.01388888888889;6543.01500202003;6543.01500202003;6406;6685;6598.437906217;6682.04035028254
2338;"FIFO";-0.972222222222222;4.11111111111111;6544.06339898079;6544.06339898079;6404;6684;6602.56754989532;6686.14814200725
2411;"FIFO";-0.972222222222222;4.20833333333333;6544.99057897785;6544.99057897785;6406;6687;6606.55163926349;6690.1327069047
2484;"FIFO";-0.972222222222222;4.30555555555556;6545.79649044367;6545.79649044367;6406;6685;6610.39081109819;6693.99291864713
2557;"FIFO";-0.972222222222222;4.40277777777778;6546.48108855145;6546.48108855145;6408;6687;6614.08549670306;6697.7278727356
2630;"FIFO";-0.972222222222222;4.5;6547.04433521919;6547.04433521919;6408;6689;6617.63591901953;6701.33688943743
2703;"FIFO";-0.972222222222222;4.59722222222222;6547.48619911336;6547.48619911336;6408;6691;6621.04209070536;6704.8195157546
2776;"FIFO";-0.972222222222222;4.69444444444445;6547.80665565164;6547.80665565164;6407;6689;6624.3038131061;6708.17552649729
2849;"FIFO";-0.972222222222222;4.79166666666667;6548.00568700537;6548.00568700537;6409;6684;6627.42067607906;6711.4049245036
2922;"FIFO";-0.972222222222222;4.88888888888889;6548.0832821011;6548.0832821011;6407;6688;6630.39205866326;6714.50794001104
2995;"FIFO";-0.972222222222222;4.98611111111111;6548.03943662159;6548.03943662159;6409;6691;6633.21713062497;6717.48502915146
3068;"FIFO";-0.972222222222222;5.08333333333333;6547.87415300636;6547.87415300636;6406;6691;6635.89485494038;6720.33687150651
